,entropy
main,0.8254780063682043
Source Port,0.7281860114028309
Destination Port,0.6347478584951238
Protocol,0.8355187514553604
Flow Duration,0.8189576764266256
Total Fwd Packets,0.8353724986245284
Total Backward Packets,0.8354496476230231
Total Length of Fwd Packets,0.814430164578353
Total Length of Bwd Packets,0.8354577905140675
Fwd Packet Length Max,0.8146540226231909
Fwd Packet Length Min,0.8147527644326823
Fwd Packet Length Mean,0.8146267077647624
Fwd Packet Length Std,0.8356228477489657
Bwd Packet Length Max,0.835492123344779
Bwd Packet Length Min,0.8356352145531494
Bwd Packet Length Mean,0.8354751996995603
Bwd Packet Length Std,0.8357431323111693
Flow Packets/s,0.8190843557621014
Flow IAT Mean,0.8190226522587226
Flow IAT Std,0.8348565814591571
Flow IAT Max,0.8189793560611848
Flow IAT Min,0.819882326756872
Fwd IAT Total,0.8193014183186647
Fwd IAT Mean,0.8193449369190364
Fwd IAT Std,0.8352845940804003
Fwd IAT Max,0.819323087782058
Fwd IAT Min,0.819881277080538
Bwd IAT Total,0.8353627302988771
Bwd IAT Mean,0.835366658375598
Bwd IAT Std,0.835656914008166
Bwd IAT Max,0.8353656683555197
Bwd IAT Min,0.8355111099707996
Fwd PSH Flags,0.8358198099763448
Bwd PSH Flags,0.8359270950564093
Fwd URG Flags,0.8359270950564093
Bwd URG Flags,0.8359270950564093
Fwd Header Length,0.7919778134227183
Bwd Header Length,0.8354101375154334
Fwd Packets/s,0.8191442532228294
Bwd Packets/s,0.8353702152224436
Min Packet Length,0.8147574291967232
Max Packet Length,0.8146305884033939
Packet Length Mean,0.814594626203508
Packet Length Std,0.83543461264769
Packet Length Variance,0.8354057323034138
FIN Flag Count,0.8359270950564088
SYN Flag Count,0.8359211065376574
RST Flag Count,0.8358198099763444
PSH Flag Count,0.8359270950564088
ACK Flag Count,0.835811031497753
URG Flag Count,0.8356181526143253
CWE Flag Count,0.8357875876073884
ECE Flag Count,0.835927095056409
Down/Up Ratio,0.8356140252035201
Average Packet Size,0.8144193367464451
Avg Fwd Segment Size,0.8146267077647624
Avg Bwd Segment Size,0.8354751996995603
Fwd Header Length.1,0.7919778134227184
Fwd Avg Bytes/Bulk,0.835927095056409
Fwd Avg Packets/Bulk,0.835927095056409
Fwd Avg Bulk Rate,0.835927095056409
Bwd Avg Bytes/Bulk,0.835927095056409
Bwd Avg Packets/Bulk,0.835927095056409
Bwd Avg Bulk Rate,0.835927095056409
Subflow Fwd Packets,0.8353724986245284
Subflow Fwd Bytes,0.8144301645783532
Subflow Bwd Packets,0.835449647623023
Subflow Bwd Bytes,0.8354577905140675
Init_Win_bytes_forward,0.8352565960084823
Init_Win_bytes_backward,0.8354511523498585
act_data_pkt_fwd,0.8353253138174074
min_seg_size_forward,0.7926223940268299
Active Mean,0.8357664064961519
Active Std,0.8358385509836804
Active Max,0.8357663387774793
Active Min,0.8357671297941899
Idle Mean,0.8357649033472776
Idle Std,0.8358357452210939
Idle Max,0.8357650482093373
Idle Min,0.8357649757783077
Inbound,0.8355186443585005
