,entropy,InformationGain,avgSTD,informationgain_SF,Mutualinformation_SD,Mutualinformation_PCC1,AverageMutualinofrmation,Mutualinformation_PCC2,Mutualinformation_kendall1,Mutualinformation_kendall2,Mutualinformation_spearsman1,Mutualinformation_spearsman2
main,0.8349962447495505,0.0,0.7450022033631454,18595.936862721643,21.159253306728107,2.7442223599327917,None,None,2.782706895582922,None,2.7744327449684305,None
having_IP_Address,0.8317976033387712,0.9277568456621488,0.7379493891546157,16918.593074850876,22.028337731567362,2.702056681682868,0.6179505891359243,3.8384501862896956,2.725477182316278,3.153334664830736,2.717215760429555,3.1491648965147023
URL_Length,0.8373828437438638,0.7657848739144626,0.7442748518252523,16826.032732699932,22.96629628733965,2.676725820623487,1.1787385613629306,3.3935685939834235,2.7083514955279098,3.1767593333065447,2.700119283521097,3.1939077776566207
Shortining_Service,0.84450869888593,0.5591350747945434,0.7474506150979444,16630.086237131665,21.37880601912469,2.7111251814907296,0.3386277124760401,5.019654813894588,2.7470229891306643,4.941513901821953,2.7379054956387123,4.921928833426297
having_At_Symbol,0.8427856284007766,0.6091041188639927,0.7460850959487323,16689.65503034773,19.91609927318517,2.707330933691665,0.13143678701936407,4.293743520554209,2.7390301008818265,3.6566256592695763,2.7295985998530843,3.6543561002334193
double_slash_redirecting,0.8446370505604455,0.5554128762335964,0.7475536084273976,16625.220004238523,21.86128489755408,2.6989209999587715,0.27948942541933625,4.094445699699316,2.7303564322685183,4.22065704514262,2.7218564580116227,4.20108681366799
Prefix_Suffix,0.8443303599588967,0.56430690367851,0.7473078156391281,16636.74108421895,25.922782647210585,2.7005830929519554,2.0044490857330812,4.561625037517409,2.7387428044321456,3.7165628950731096,2.7323661432137256,3.762080530880336
having_Sub_Domain,0.809290522206169,1.580462198507611,0.7425016536046831,17099.320860522435,26.95617743540154,2.6798886060981655,0.4603103895411891,3.9200788304419993,2.7427648989837436,4.6145264674981545,2.739232266170596,4.670718561991632
SSLfinal_State,0.8179493803556144,1.3293553121736963,0.739247370404103,17050.796539380917,25.364850801314926,2.6166818058620853,1.8895490111610826,3.9283000602871696,2.6787556353511746,3.8777393865091963,2.6757566604818397,4.022552277273172
Domain_registeration_length,0.8321834408430352,0.9165675580384942,0.7382219592494748,16913.250755785175,20.40069768676358,2.6324518060588424,-0.6956126336944044,0.6123870451628242,2.685018682798646,0.6399155938398755,2.6780176462928837,0.605661734314306
Favicon,0.8399131598119681,0.6924057079394395,0.7438720518697339,16769.846310053166,18.635413283254007,2.852466931834681,0.05886096039874106,7.9520901195665905,2.9140182671657606,8.008071778134074,2.9030383795435464,7.9979054155641585
port,0.8440199317414666,0.5733093219839809,0.7470600829877598,16648.038545346404,19.589527281796638,2.9586696827908736,0.05792256822273639,9.481958631551727,3.021131768978559,9.387183781824909,3.0099252377175136,9.383281060516481
HTTPS_token,0.8417146216323246,0.6401633151491026,0.7452512904181606,16721.994577004534,20.21418273793809,2.7876138084064412,0.36644286652092745,4.74159390970167,2.8434474456373087,4.750541007014536,2.834258778711572,4.736659850535868
Request_URL,0.830179477907491,0.9746824831692749,0.7368145665027774,16939.661830502788,22.007570786335513,2.710361369903394,0.39079242848023776,3.948024261491113,2.7606868617439875,3.923003736543815,2.756359503364921,3.9602811640483875
URL_of_Anchor,0.8117830937945747,1.5081776224438492,0.7460320125104828,17087.00867739654,23.88276347091048,2.677637938698532,0.7647481952867279,5.6977505681958265,2.71879032987391,5.5016893003166105,2.717302134388541,5.687931970189326
Links_in_tags,0.8102388707160058,1.5529600917223476,0.74434805007783,17094.771528965917,26.576881172834884,2.653612140165092,0.446862619177668,0.8176528727202985,2.671958190865043,0.5457486637386066,2.6674728127703586,0.5456214244773336
SFH,0.829477264016925,0.995046685995689,0.7445145875392056,16948.18668212762,25.945664059317778,2.801058798431363,1.6040924033654302,7.344203294304488,2.8014376525735116,6.148577147109671,2.79403285294234,6.193833211719983
Submitting_to_email,0.8401746346002317,0.684822939079794,0.7440705362945425,16763.353765883334,22.454953849898168,2.8541188636188615,0.18790831187446025,7.327951435904705,2.883354785557937,7.236426328578932,2.8742987312329435,7.235260139286712
Abnormal_URL,0.8429899347440196,0.6031792349099447,0.7462454083957681,16683.107644070682,21.561758651609722,2.6776832949004117,0.3499734982168777,3.6577896332886395,2.728414426600842,3.712537630526005,2.719324505088267,3.6946416601967367
Redirect,0.845966592407111,0.5168561626802948,0.7596618518502447,16570.689388725863,22.519226077135546,2.6219750529540202,1.243246938221898,0.9429024106704337,2.6708010739280716,0.7824552444277327,2.6625049264740226,0.7904752402323143
on_mouseover,0.8456396618873389,0.5263371477536865,0.7483646838040686,16584.839041246614,21.056078215897475,2.7369454308820997,0.1073569867082575,6.590919350526894,2.800288382543055,6.7261443144089315,2.7912536855530887,6.722807467613225
RightClick,0.8549568405706081,0.25613896593888086,0.7566922361304508,15771.130674955526,19.32635618568615,2.834004395255358,0.021976346553790105,5.447564437034904,2.908740965110611,5.731338817770606,2.898635958294457,5.729177904494105
popUpWidnow,0.8393638132909612,0.7083367570486381,0.7434568398410099,16783.034038375692,19.334785960724492,2.9101052324229455,0.1076176589989033,7.616464034459337,2.9757813651023683,7.6328772796724795,2.9649617936149273,7.622417309366051
Iframe,0.8485617383014296,0.44159693174505676,0.7508028459426628,16436.817292606567,19.358336163105406,2.921841768905197,0.030874771516164523,8.323703897495436,2.975810472975701,8.124494002759114,2.9657113988545545,8.118177027180016
age_of_domain,0.8293998023139354,0.9972930753823874,0.7362723392772564,16949.10574412964,19.58565798669339,2.7673508914862586,0.12426466778898632,4.9518259159901055,2.817841366485788,4.892159435579544,2.8097913124902263,4.919127059558022
DNSRecord,0.8329329465368622,0.8948318929175088,0.7387537080988261,16902.491232441684,21.703522426576146,2.64189893536304,0.2576504044533047,2.567938697945927,2.702149705057711,2.5535604187607266,2.695311270245547,2.5616138414152863
web_traffic,0.813089971977747,1.470278155131851,0.7421494067496218,17080.069513549992,22.68654355156889,2.6480701882257085,1.0294913360649747,3.7232399439135357,2.7084219326053574,4.270181420266566,2.702030130873598,4.316568372610851
Page_Rank,0.8353767100902885,0.8239627498681479,0.740509568281375,16863.46701686922,21.39923609375547,2.7093770269301656,0.2057720499940633,4.2205151412920605,2.753342172690636,3.5896450669826847,2.7462829317992976,3.606551858868995
Google_Index,0.8437142504055302,0.5821740807261406,0.7468171521815234,16658.821830370613,20.78506828494375,2.6642884193650187,0.00730701166154496,5.5243469233047975,2.719638491317259,5.670532988431621,2.711151049938891,5.681433592455875
Links_pointing_to_page,0.8219042241992917,1.214664840707055,0.7510386889414137,17021.95915704374,21.23215797327793,2.598812234687379,0.5380684869898528,-0.18738753269799052,2.667797104940643,0.29113963603449455,2.6585968834489466,0.25274873342560306
Statistical_report,0.843624273246899,0.5847834183264418,0.7467458338483185,16661.93360682505,21.418719952474312,2.6769017797691173,0.09017669357625785,6.1200755249113366,2.724430875305433,6.035724596339657,2.715362433750028,6.042167900707606
